noc,competitors,bronze,gold,silver,medals,medal_ratio,fail_ratio,blewed_chances
MIX,12,4.0,3.0,2.0,9.0,0.75,0.25,3.0
URS,3092,296.0,395.0,319.0,1010.0,0.32664941785252266,0.6733505821474773,2082.0
GDR,1465,127.0,153.0,129.0,409.0,0.27918088737201363,0.7208191126279864,1056.0
EUN,422,29.0,45.0,38.0,112.0,0.26540284360189575,0.7345971563981042,310.0
USA,10908,744.0,1064.0,837.0,2645.0,0.24248258159149247,0.7575174184085075,8263.0
CHN,3157,173.0,262.0,198.0,633.0,0.20050681026290781,0.7994931897370922,2524.0
ROC,355,22.0,20.0,27.0,69.0,0.19436619718309858,0.8056338028169014,286.0
KEN,656,36.0,35.0,42.0,113.0,0.1722560975609756,0.8277439024390244,543.0
RUS,2552,154.0,150.0,129.0,433.0,0.16967084639498434,0.8303291536050157,2119.0
KOS,19,0.0,3.0,0.0,3.0,0.15789473684210525,0.8421052631578947,16.0
AZE,306,28.0,7.0,12.0,47.0,0.15359477124183007,0.8464052287581699,259.0
GER,5187,281.0,229.0,257.0,767.0,0.14786967418546365,0.8521303258145363,4420.0
ETH,395,23.0,23.0,12.0,58.0,0.1468354430379747,0.8531645569620253,337.0
GEO,274,18.0,10.0,12.0,40.0,0.145985401459854,0.8540145985401459,234.0
ANZ,87,5.0,3.0,4.0,12.0,0.13793103448275862,0.8620689655172413,75.0
CUB,1743,82.0,84.0,69.0,235.0,0.13482501434308664,0.8651749856569133,1508.0
JAM,680,25.0,26.0,36.0,87.0,0.12794117647058822,0.8720588235294118,593.0
FRG,1669,81.0,56.0,67.0,204.0,0.12222887956860395,0.877771120431396,1465.0
GBR,7722,312.0,288.0,320.0,920.0,0.11914011914011914,0.8808598808598809,6802.0
WIF,17,2.0,0.0,0.0,2.0,0.11764705882352941,0.8823529411764706,15.0
IRI,639,29.0,23.0,23.0,75.0,0.11737089201877934,0.8826291079812206,564.0
KOR,2513,100.0,96.0,91.0,287.0,0.11420612813370473,0.8857938718662952,2226.0
AUS,4767,208.0,163.0,170.0,541.0,0.11348856723306062,0.8865114327669393,4226.0
ROU,2716,121.0,90.0,97.0,308.0,0.1134020618556701,0.8865979381443299,2408.0
SWE,4420,179.0,144.0,176.0,499.0,0.11289592760180996,0.88710407239819,3921.0
ITA,5605,211.0,216.0,186.0,613.0,0.10936663693131132,0.8906333630686887,4992.0
NED,2984,122.0,97.0,105.0,324.0,0.10857908847184987,0.8914209115281502,2660.0
HUN,4788,173.0,181.0,154.0,508.0,0.1060985797827903,0.8939014202172098,4280.0
JPN,4685,177.0,169.0,150.0,496.0,0.10586979722518676,0.8941302027748133,4189.0
INA,358,15.0,8.0,14.0,37.0,0.10335195530726257,0.8966480446927374,321.0
FIN,3016,119.0,101.0,85.0,305.0,0.10112732095490716,0.8988726790450928,2711.0
NZL,1396,52.0,53.0,34.0,139.0,0.0995702005730659,0.9004297994269341,1257.0
FRA,7821,280.0,227.0,252.0,759.0,0.0970464135021097,0.9029535864978903,7062.0
BUL,2321,82.0,53.0,88.0,223.0,0.09607927617406291,0.9039207238259371,2098.0
DEN,2188,79.0,48.0,77.0,204.0,0.09323583180987204,0.906764168190128,1984.0
ARM,194,8.0,2.0,8.0,18.0,0.09278350515463918,0.9072164948453608,176.0
PRK,586,22.0,16.0,16.0,54.0,0.09215017064846416,0.9078498293515358,532.0
TUR,1117,34.0,41.0,27.0,102.0,0.09131602506714413,0.9086839749328559,1015.0
